MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius	
1	C«ng Kİch VËt Lı	1	0	1	10	1	0	1	6	6	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1	\sound\skill\Ç¹´ÌÖĞÉù.wav													181	203	255	0	
2	C«ng Kİch VËt Lı Xa 	1	0	1	10	1	0	1	0	20	16	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\²¹³ä\Ô¶³Ì¹¥»÷.spr	16,16,5					\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1	\sound\skill\sound_k032.wav													231	227	107	10	
3	Hµng Long B¸t Vò	0	0	1	5	4	1	4	10	15	20	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\ÉÙÁÖ\sl_03_ĞĞÁú²»Óê.spr	15,1,1	\sound\skill\ĞĞÁú²»Óê.wav																			231	227	107	90	
4	C«ng Kİch VËt Lı	1	0	1	10	1	1	1	0	4	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0	
5	Buff Me	0	0	0	2	16	1	16	3	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0	
6	Kim PhËt XuÊt Kİch 	1	0	0	10	1	0	1	0	30	20	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo1_½ğ²¨.spr	320,32,1																				231	227	107	90	
7	Long Tr¶o Hæ Tr¶o	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0							\spr\skill\²¹³ä\BZ_é¢.spr	6,1,1		\spr\skill\²¹³ä\BZ_é¢.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1		181	203	255	0	
8	Hoµnh T¶o Lôc Hîp	0	0	0	2	1	1	5	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0										\spr\skill\²¹³ä\¹÷°ô±¬Õ¨.spr	4,1,1														255	255	255	0	
9	La H¸n TrËn 	0	0	0	2	1	1	16	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0	
10	Ma H¶ V« L­îng	1	0	1	10	1	0	1	0	20	30	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\sl_01_Ä¦Ú­ÎŞÁ¿.spr	90,16,1																				231	227	107	90	
11	§¹t Ma §é Giang 	1	0	1	10	1	0	1	0	3	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\sl_01_´ïÄ¦¶É½­.spr	160,16,1					\spr\skill\sl\½ğÁúÌ½×¦.spr	6,1,1	\sound\skill\sound_k040.wav													239	231	189	90	
12	Hoµnh T¶o Thiªn Qu©n	0	0	1	10	6	1	6	6	5	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0				\spr\skill\sl\bz_ºáÉ¨Ç§¾ü.spr	8,1,1					\spr\skill\sl\½ğÁúÌ½×¦.spr	6,1,1	\sound\skill\sound_k017.wav				\spr\skill\sl\bz_ºáÉ¨Ç§¾ü.spr	8,1,1	\sound\skill\sound_k017.wav						\sound\skill\sound_k014.wav	239	231	189	90	
13	V« T­íng Tr¶m	1	0	1	10	1	1	1	0	16	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\sl\ÎŞÏòÕ¶.spr	128,16,1					\spr\skill\ÉÙÁÖ\sl_04_»ÛÑÛÖä.spr	20,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													239	231	189	90	
14	Ph¸ Thiªn Tr¶m	1	0	1	10	1	0	1	0	3	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0										\spr\skill\tw\×··ç¾ö.spr	8,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0	
