Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	AuraSkill	AuraSkillLevel	PassSkill	PassSkillLevel	ActionScript	LevelScript	ExpParam	ExpParam1	ExpParam2	ExpParam3	LifeParam	LifeParam1	LifeParam2	LifeParam3	LifeReplenish	ARParam	ARParam1	ARParam2	ARParam3	DefenseParam	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime	QuestTask
B¸n Ngùa	3	6	0								passerby037_1	0	0	0	0	0	26	24																																																																								100		25	
Thî RÌn	3	6	0								passerby004_2	0	0	0	0	0	26	24																																																																								100		25	
Chñ D­îc §iÓm	3	6	0								passerby007	0	0	0	0	0	28	30																																																																								100		25	
NhiÕp ThÝ TrÇn	3	6	0								enemy154	0	0	0	0	0	26	44																																																																								100		25	
TiÖm T¹p Hãa	3	6	0								passerby028	0	0	0	0	0	25	14																																																																								100		25	
Xa Phu	3	6	0								passerby040	0	0	0	0	0	26	32																																																																								100		25	
Quan Viªn Vâ L©m Liªn §Êu	3	6	0								passerby092	0	0	0	0	0	26	32																																																																								100		25	
Thî Lµm B¸nh	3	6	0								passerby077	0	0	0	0	0	26	32																																																																								100		25	
B¾c §Èu L·o Nh©n	3	6	0								passerby049	0	0	0	0	0	28	60																																																																								100		25	
R­¬ng Chøa §å	3	6	0								passerby198	0	0	0	0	0	36	33																																																																								100		25	
ThÇn BÝ Th­¬ng Nh©n	3	6	0								enemy203	0	0	0	0	0	22	30																																																																								100		36	
Quan Viªn Héi Tr­êng	3	6	0								passerby092	0	0	0	0	0	40	40																																																																								100		25	
Tèng Mé Binh	3	6	0								enemy034	0	0	0	0	0	38	38																																																																								100		25	
