SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LevelUpScript	SkillDesc	IsSkillPhysical	IsSkillMagic	IsSkillTrain
C«ng kÝch vËt lý	lzlsky301	1	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	100	0	0	0	0	2	1	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p		attackrating_p		skill_cost_v																	C«ng kÝch vËt lý cËn chiÕn	1	0	0
C«ng kÝch vËt lý xa	lzlsky301	2	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_at.spr				0	0	0	0	320	0	0	0	0	2	2	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	1	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p		attackrating_p		skill_cost_v																	C«ng kÝch vËt lý tÇm xa	1	0	0
Hµng Long B¸t Vò	lzlsky301	3	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_21.spr		\sound\skill\sound_k003.wav		0	0	0	0	90	0	0	0	1	7	3	1	1	1	10	1	1	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	40	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	xinglong_buyu	skill_cost_v	xinglong_buyu	seriesdamage_p	xinglong_buyu	skill_eventskilllevel	xinglong_buyu	addskilldamage1	xinglong_buyu	addskilldamage2	xinglong_buyu	addskilldamage3	xinglong_buyu	addskilldamage4	xinglong_buyu		xinglong_buyu		xinglong_buyu		§ao ph¸p cao cÊp, s¸t th­¬ng ®ao cùc kú lîi h¹i	1	0	0
Kim Cang Phôc Ma	lzlsky301	4	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_02.spr		\sound\skill\sound_k001.wav	0	0	0	0	1	90	5	1	5	1	8	5	0	1	0	9	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	1	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	jingang_fumo	missle_speed_v	jingang_fumo	missle_lifetime_v	jingang_fumo	skill_attackradius	jingang_fumo	seriesdamage_p	jingang_fumo	skill_cost_v	jingang_fumo	addskilldamage1	jingang_fumo	addskilldamage2	jingang_fumo	addskilldamage3	jingang_fumo	addskilldamage4	jingang_fumo		Vâ c«ng nhËp m«n, tÊn c«ng ng­êi ®¬n lÎ	1	0	0
Kim Cang Phôc Ma st	lzlsky301	5		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_02.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					1	0	\script\skill\shaolin.lua	physicsenhance_p	jingang_fumo	addskilldamage3	jingang_fumo	missle_speed_v	jingang_fumo	missle_lifetime_v	jingang_fumo	skill_attackradius	jingang_fumo	seriesdamage_p	jingang_fumo	skill_eventskilllevel	jingang_fumo	addskilldamage1	jingang_fumo	addskilldamage2	jingang_fumo	addskilldamage3	jingang_fumo	addskilldamage4	Cong kich vat ly 	1	0	0
ThiÕu L©m C«n Ph¸p	lzlsky301	6	206	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_gf.spr				0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_gunfa	attackratingenhance_p	shaolin_gunfa	deadlystrikeenhance_p	shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		Hç trî c«n ph¸p	0	0	0
ThiÕu L©m §ao Ph¸p	lzlsky301	7	208	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_df.spr				0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_daofa	deadlystrikeenhance_p	shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		Hç trî ®ao ph¸p	0	0	0
ThiÕu L©m QuyÒn Ph¸p	lzlsky301	8	207	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_qf.spr				0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_quanfa	attackratingenhance_p	shaolin_quanfa	deadlystrikeenhance_p	shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		Hç trî quyÒn ph¸p	0	0	0
BËt §éng Minh V­¬ng	lzlsky301	9	22	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_22.spr	\spr\skill\ÉÙÁÖ\sl_05_²»¶¯Ã÷ÍõÖä.spr	\sound\skill\²»¶¯Ã÷ÍõÖä.wav	0	52	0	2	0	400	0	1	0	1	3	5	0	1	1	11	1	0	5	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	11	20	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	attackratingenhance_p	budong_mingwang	adddefense_v	budong_mingwang	skill_cost_v	budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		Thiªn ca, t¨ng kh¶ n¨ng chiÕn ®Êu	0	0	0
S­ Tö Hèng	lzlsky301	10	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_42.spr	\spr\skill\ÉÙÁÖ\sl_06_Ê¨×Óºð.spr	\sound\skill\Ê¨×Óºð.wav	0	0	0	2	0	400	0	0	0	1	7	5	0	1	1	11	1	0	5	0	0	0	30	0	0	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	stun_p	shizi_hou	physicsdamage_v	shizi_hou	skill_cost_v	shizi_hou	skill_eventskilllevel	shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		Thiªn ca, khiÕn ®èi ph­¬ng bÞ cho¸ng gi¶m kh¶ n¨ng chiÕn ®Êu	0	0	0
