Shop	Shop	Shop	Shop	Shop	Shop	Shop
1	0	0	0	1		
1	0	0	0	2		
1	0	0	0	3		
1	0	0	0	4		
1	0	0	0	5		
1	1	0	0	1		
1	1	0	0	2		
1	1	0	0	3		
1	1	0	0	4		
1	1	0	0	5		
1	2	0	0	1		
1	2	0	0	2		
1	2	0	0	3		
1	2	0	0	4		
1	2	0	0	5		
1	4	0	0	1		
1	4	0	0	2		
1	4	0	0	3		
1	4	0	0	4		
1	4	0	0	5		
1	3	0	0	1		
1	3	0	0	2		
1	3	0	0	3		
1	3	0	0	4		
1	3	0	0	5		
0	0	0	4	1		
0	0	0	4	2		
0	0	0	4	3		
0	0	0	4	4		
0	0	0	4	5		
0	0	0	4	6		
0	0	0	4	7		
0	0	0	4	8		
0	0	0	4	9		
0	0	0	4	10		
0	0	1	3	1		
0	0	1	3	2		
0	0	1	3	3		
0	0	1	3	4		
0	0	1	3	5		
0	0	1	3	6		
0	0	1	3	7		
0	0	1	3	8		
0	0	1	3	9		
0	0	1	3	10		
0	0	2	0	1		
0	0	2	0	2		
0	0	2	0	3		
0	0	2	0	4		
0	0	2	0	5		
0	0	2	0	6		
0	0	2	0	7		
0	0	2	0	8		
0	0	2	0	9		
0	0	2	0	10		
0	0	3	2	1		
0	0	3	2	2		
0	0	3	2	3		
0	0	3	2	4		
0	0	3	2	5		
0	0	3	2	6		
0	0	3	2	7		
0	0	3	2	8		
0	0	3	2	9		
0	0	3	2	10		
0	0	4	0	1		
0	0	4	0	2		
0	0	4	0	3		
0	0	4	0	4		
0	0	4	0	5		
0	0	4	0	6		
0	0	4	0	7		
0	0	4	0	8		
0	0	4	0	9		
0	0	4	0	10		
0	0	5	2	1		
0	0	5	2	2		
0	0	5	2	3		
0	0	5	2	4		
0	0	5	2	5		
0	0	5	2	6		
0	0	5	2	7		
0	0	5	2	8		
0	0	5	2	9		
0	0	5	2	10		
0	1	0	1	1		
0	1	0	1	2		
0	1	0	1	3		
0	1	0	1	4		
0	1	0	1	5		
0	1	0	1	6		
0	1	0	1	7		
0	1	0	1	8		
0	1	0	1	9		
0	1	0	1	10		
0	1	1	1	1		
0	1	1	1	2		
0	1	1	1	3		
0	1	1	1	4		
0	1	1	1	5		
0	1	1	1	6		
0	1	1	1	7		
0	1	1	1	8		
0	1	1	1	9		
0	1	1	1	10		
0	1	2	1	1		
0	1	2	1	2		
0	1	2	1	3		
0	1	2	1	4		
0	1	2	1	5		
0	1	2	1	6		
0	1	2	1	7		
0	1	2	1	8		
0	1	2	1	9		
0	1	2	1	10		
0	2	0	3	1		
0	2	0	3	2		
0	2	0	3	3		
0	2	0	3	4		
0	2	0	3	5		
0	2	0	3	6		
0	2	0	3	7		
0	2	0	3	8		
0	2	0	3	9		
