szName	nItemGenre	nDetailType	nParticularType	szImageName	nObjIdx	nWidth	nHeight	szIntro	nSeries	nPrice	nLevel	bTrade	nTypeBasic1	Min	Max	nTypeBasic2	Min	Max	nTypeBasic3	Min	Max	nTypeBasic4	Min	Max	nTypeBasic5	Min	Max	nTypeBasic6	Min	Max	nTypeBasic7	Min	Max	nTypeReq1	Value	nTypeReq2	Value	nTypeReq3	Value	nTypeReq4	Value	nTypeReq5	Value	nTypeReq6	Max	nMagicType1	nMagicType2	nMagicType3	nMagicType4	nMagicType5	nMagicType6	nGoldId	nSet	nSetNum	nUpSet	nSetId
Kim Phong Thanh D­¬ng Kh«i	0	7	14	\spr\item\equip\cap\obj-ma-cap13-2.spr	28	2	2	Trang BÞ Hoµng Kim	2	100	5	1	30	315	315	31	999	999																36	40											1	2	3	-1	-1	-1	0				
Kim Phong Thanh D­¬ng Kh«i	0	7	14	\spr\item\equip\cap\obj-ma-cap13-2.spr	28	2	2	Trang BÞ Hoµng Kim	2	100	5	1	30	315	315	31	999	999																36	40											1	2	3	-1	-1	-1	1	1	9		1
Kim Phong Kú L©n HuyÕt	0	2	29	\spr\item\equip\armor\obj-ma-cloth14-1.spr	22	2	3	Trang BÞ Hoµng Kim	0	100	5	1	30	630	630	31	999	999																36	40											4	5	6	-1	-1	-1	2	1	9		2
Kim Phong Tr¹c Liªn Quang	0	4	2	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang BÞ Hoµng Kim	1	100	5	1																						36	30											7	8	9	-1	-1	-1	3	1	9		3
Kim Phong C«ng CÈn Tam Th¸n	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang BÞ Hoµng Kim	2	100	5	1																						36	40											10	11	12	-1	-1	-1	4	1	9		4
Kim Phong §o¹t Hån Ngäc §¸i	0	6	4	\spr\item\equip\sash\obj-sash09.spr	33	2	1	Trang BÞ Hoµng Kim	4	100	5	1	30	140	140	31	999	999																36	50											13	14	15	-1	-1	-1	5	1	9		5
Kim Phong HËu NghÖ DÉn Cung	0	8	2	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang BÞ Hoµng Kim	3	100	5	1	30	111	111	31	999	999																36	50											16	17	18	-1	-1	-1	6	1	9		6
Kim Phong Lan §×nh Ngäc	0	9	2	\spr\item\equip\waist\obj-waist17.spr	36	1	2	Trang BÞ Hoµng Kim	0	100	5	1																						36	40											19	20	21	-1	-1	-1	7	1	9		7
Kim Phong Thiªn Lý Th¶o Th­îng Phi	0	5	4	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang BÞ Hoµng Kim	4	100	5	1	30	140	140	31	999	999																36	30											22	23	24	-1	-1	-1	8	1	9		8
Kim Phong §ång T­íc Xu©n Th©m	0	3	2	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang BÞ Hoµng Kim	1	100	5	1																						36	60											25	26	27	-1	-1	-1	9	1	9		9
An Bang Tinh Th¹ch H¹ng Liªn	0	4	3	\Spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang BÞ Hoµng Kim	4	99999	8	1																						36	85											28	-1	-1	-1	-1	-1	10	2	4		1
An Bang Cóc Th¹ch ChØ Hoµn	0	3	3	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang BÞ Hoµng Kim	2	99999	8	1																						36	80											29	30	-1	-1	-1	-1	11	2	4		2
An Bang §iÒm Hoµng Ngäc Béi	0	9	3	\Spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang BÞ Hoµng Kim	1	99999	8	1																						36	75											31	32	-1	-1	-1	-1	12	2	4		3
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	4	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang BÞ Hoµng Kim	3	99999	8	1																						36	80											33	34	-1	-1	-1	-1	13	2	4		4
[Liªn §Êu] An Bang Tinh Th¹ch H¹ng Liªn	0	4	4	\Spr\item\equip\nick\obj-neck07.spr	36	2	1	Trang BÞ Hoµng Kim	4	30000	8	1																						36	85											35	-1	-1	-1	-1	-1	14	2	4		1
[Liªn §Êu] An Bang Cóc Th¹ch ChØ Hoµn	0	3	5	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang BÞ Hoµng Kim	2	8000	8	1																						36	80											36	37	-1	-1	-1	-1	15	2	4		2
