马匹编号	马匹部件编号	说明
1	0	
2	10	
3	10	
4	10	
5	10	
6	10	
7	10	
8	10	
9	10	
10	10	
11	10	
12	6	
13	6	
14	6	
15	6	
16	6	
17	6	
18	6	
19	6	
20	6	
21	6	
22	9	
23	9	
24	9	
25	9	
26	9	
27	9	
28	9	
29	9	
30	9	
31	9	
32	5	
33	5	
34	5	
35	5	
36	5	
37	5	
38	5	
39	5	
40	5	
41	5	
42	8	
43	8	
44	8	
45	8	
46	8	
47	8	
48	8	
49	8	
50	8	
51	8	
52	7	
53	11	
54	11	
55	4	
56	3	
57	7	
58	2	
59	11	
60	4	
61	3	
62	12	
63	12	
64	12	
65	12	
66	12	
67	12	
68	12	
69	12	
70	12	
71	12	
72	13	
73	13	
74	13	
75	13	
76	13	
77	13	
78	13	
79	13	
80	13	
81	13	
82	14	
83	14	
84	14	
85	14	
86	14	
87	14	
88	14	
89	14	
90	14	
91	14	
92	15	
93	15	
94	15	
95	15	
96	15	
97	15	
98	15	
99	15	
100	15	
101	15	
102	17	
103	17	
104	17	
105	17	
106	17	
107	17	
108	17	
109	17	
110	17	
111	17	
