szName	nPos	nClass	nLevel	nPropKind	Min1	Max1	Min2	Max2	Min3	Max3	szIntro	MeleeWeapon	RangeWeapon	Armor	Ring	Amorlet	Boots	Belt	Help	Cuff	Pendant	Horse
T¨ng hiÖu qu¶ s¸t th­¬ng	1		1	131	5	10	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		2	131	10	20	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		3	131	20	30	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		4	131	30	40	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		5	131	40	50	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		6	131	50	60	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		7	131	60	70	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		8	131	70	80	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		9	131	80	90	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		10	131	90	100	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	50000	50000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		11	131	1	15	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
