szName	nItemGenre	nDetailType	szImageName	nObjIdx	nWidth	nHeight	szIntro	nSeries	nPrice	nLevel	IsUse	IsTrade	IsThrow	nMaxStack
HuyÒn ThiÕt Nguyªn Kho¸ng	2	0	\spr\item\script\item_xuantiekuang.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh hiÖn 1<color> trªn trang bŞ (NhÊn chuét ph¶i xem chi tiÕt) "	5	100	1	0	1	0	50
MËt Nguyªn Kho¸ng	2	1	\spr\item\script\item_miyinkuang.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow> thuéc tİnh hiÖn 2<color> trªn trang bŞ (NhÊn chuét ph¶i xem chi tiÕt) "	5	100	1	0	1	0	50
Chu Sa Nguyªn Kho¸ng	2	2	\spr\item\script\item_zhushakuang.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh hiÖn 3<color> trªn trang bŞ (NhÊn chuét ph¶i xem chi tiÕt) "	5	100	1	0	1	0	50
Khæng T­íc Nguyªn Th¹ch	2	3	\spr\item\script\item_kongqueshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 1<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	0	100	1	0	1	0	50
Khæng T­íc Nguyªn Th¹ch	2	4	\spr\item\script\item_kongqueshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 1<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	1	100	1	0	1	0	50
Khæng T­íc Nguyªn Th¹ch	2	5	\spr\item\script\item_kongqueshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 1<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	2	100	1	0	1	0	50
Khæng T­íc Nguyªn Th¹ch	2	6	\spr\item\script\item_kongqueshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 1<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	3	100	1	0	1	0	50
Khæng T­íc Nguyªn Th¹ch	2	7	\spr\item\script\item_kongqueshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 1<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	4	100	1	0	1	0	50
Phï Dung Nguyªn Th¹ch	2	8	\spr\item\script\item_furongshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 2<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	0	100	1	0	1	0	50
Phï Dung Nguyªn Th¹ch	2	9	\spr\item\script\item_furongshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 2<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	1	100	1	0	1	0	50
Phï Dung Nguyªn Th¹ch	2	10	\spr\item\script\item_furongshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 2<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	2	100	1	0	1	0	50
Phï Dung Nguyªn Th¹ch	2	11	\spr\item\script\item_furongshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 2<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	3	100	1	0	1	0	50
Phï Dung Nguyªn Th¹ch	2	12	\spr\item\script\item_furongshi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 2<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	4	100	1	0	1	0	50
Chung Nhò Nguyªn Th¹ch	2	13	\spr\item\script\item_zhongrushi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 3<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	0	100	1	0	1	0	50
Chung Nhò Nguyªn Th¹ch	2	14	\spr\item\script\item_zhongrushi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 3<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	1	100	1	0	1	0	50
Chung Nhò Nguyªn Th¹ch	2	15	\spr\item\script\item_zhongrushi.spr	425	1	1	"Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 3<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) "	2	100	1	0	1	0	50
