szName	nItemGenre	nDetailType	nParticularType	szImageName	nObjIdx	nWidth	nHeight	szIntro	nSeries	nPrice	nLevel	nAttrib1	nValue	nTime	nAttrib2	nValue	nTime
Kim S¸ng D­îc (tiÓu)	1	0	0	\spr\item\medecine\obj-potion01.spr	18	1	1	Phôc håi chót Ýt khÝ huyÕt		60	1	158	25	100			
Kim S¸ng D­îc (trung)	1	0	0	\spr\item\medecine\obj-potion01.spr	18	1	1	Håi phôc khÝ huyÕt t­¬ng ®èi nhanh		250	2	158	100	100			
Kim S¸ng D­îc (®¹i)	1	0	0	\spr\item\medecine\obj-potion02.spr	307	1	1	Håi phôc khÝ huyÕt cùc nhanh		300	3	158	150	200			
Håi thiªn §an	1	0	0	\spr\item\medecine\obj-potion02.spr	307	1	1	"ThÇn d­îc ch÷a th­¬ng, c¶i tö hoµn sinh"		600	4	158	250	200			
Cöu ChuyÓn Hoµn Hån §an	1	0	0	\spr\item\medecine\obj-potion03.spr	310	1	1	LËp tøc håi phôc 5000 ®iÓm Sinh lùc		3600	5	158	500	100			
Ng­ng ThÇn §an (tiÓu)	1	1	0	\spr\item\medecine\obj-potion06.spr	20	1	1	Cã thÓ phôc håi chót Ýt Néi l­c'		60	1	159	50	100			
Ng­ng ThÇn §an (trung)	1	1	0	\spr\item\medecine\obj-potion06.spr	20	1	1	Håi phôc Néi lùc t­¬ng ®èi nhanh		120	2	159	100	100			
Ng­ng ThÇn §an (®¹i)	1	1	0	\spr\item\medecine\obj-potion07.spr	309	1	1	Håi phôc Néi lùc cùc nhanh		300	3	159	150	200			
§¹i Bæ T¸n	1	1	0	\spr\item\medecine\obj-potion07.spr	309	1	1	Phôc håi néi lùc trong nh¸y m¾t		600	4	159	250	200			
¤ §Çu Hoµn ThÇn §an	1	1	0	\spr\item\medecine\obj-potion08.spr	312	1	1	LËp tøc phôc håi 5000 ®iÓm Néi lùc		3600	5	159	500	100			
Thõa Tiªn MËt (tiÓu)	1	2	0	\spr\item\medecine\obj-potion11.spr	19	1	1	§ång thêi phôc håi chót Ýt Sinh lùc vµ Néi lùc		96	1	158	50	100	159	50	100
