szName	nItemGenre	nDetailType	szImageName	nObjIdx	nWidth	nHeight	szIntro	Coin	IsUse	IsTrade	IsThrow	nMaxStack
Vâ L©m MËt TŞch	4	0	\spr\item\questkey\obj_item_lection.spr	341	1	1	Sö dông nhËn ®­îc 1 ®iÓm kü n¨ng<enter>Tèi ®a sö dông <color=fire>10 cuèn<color>	20	1	1	0	0
TÈy Tñy Kinh	4	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	Sö dông nhËn ®­îc 5 ®iÓm tiÒm n¨ng<enter>Tèi ®a sö dông  <color=fire>10 cuèn<color>	20	1	1	0	0
ThiÕt La H¸n	4	2	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Bİ kİp cao cÊp, tu luyÖn sÏ nhËn ®­îc kinh nghiÖm."	5	1	1	0	0
Hoµng Kim §¹i Ph¸p	4	3	\spr\item\sach4.spr	341	1	1	"<color=fire>QuyÓn ®¹i ph¸p dïng ®Ó nghiªn cøu ra Hoµng Kim LÖnh, thî rÌn ë Ba L¨ng HuyÖn biÕt c¸ch dïng.<color>"	100	0	0	1	0
HuyÒn Tinh CÊp 1	4	4	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>1<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	10	0	0	1	10
HuyÒn Tinh CÊp 2	4	5	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>2<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	20	0	0	1	10
HuyÒn Tinh CÊp 3	4	6	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>3<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	30	0	0	1	10
HuyÒn Tinh CÊp 4	4	7	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>4<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	40	0	0	1	10
HuyÒn Tinh CÊp 5	4	8	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>5<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	50	0	0	1	10
HuyÒn Tinh CÊp 6	4	9	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>6<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	60	0	0	1	10
HuyÒn Tinh CÊp 7	4	10	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>7<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	70	0	0	1	10
HuyÒn Tinh CÊp 8	4	11	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>8<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	80	0	1	1	10
HuyÒn Tinh CÊp 9	4	12	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>9<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	90	0	1	1	10
HuyÒn Tinh CÊp 10	4	13	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	PhÈm chÊt : <color=water>10<color><enter>Nguyªn liÖu dïng ®Ó chÕ t¹o ®å hoµng kim	100	0	1	1	10
Tö Thñy Tinh	4	14	\spr\item\questkey\baoshi_xingtian.spr	467	1	1	Lo¹i Thñy tinh cã thÓ n©ng cÊp trang bŞ.	20	0	1	1	0
Lôc Thñy Tinh	4	15	\spr\item\questkey\baoshi_nvwa.spr	468	1	1	Lo¹i thñy tinh cã thÓ gióp thay ®æi c¸c thuéc tİnh cña trang bŞ.	20	0	1	1	0
Lam Thñy Tinh	4	16	\spr\item\questkey\baoshi_zhuanxu.spr	469	1	1	Lo¹i Thñy tinh cã thÓ lµm thay ®æi ngò  hµnh cña trang bŞ.	20	0	1	1	0
Tinh Hång B¶o Th¹ch	4	17	\spr\item\obj_item_red.spr	333	1	1	"Mét viªn b¶o th¹ch thÇn bİ, ng­êi luyÖn vâ cã thÓ dïng ®Ó ®¶ th«ng kinh m¹ch."	15	0	1	1	0
L¨ng V­¬ng Th­¬ng §o¹n T¹o Tµn Biªn (Th­¬ng)	4	18	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
HuyÒn Vò Chïy Chi §óc T¹o ThuËt (Chïy)	4	19	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
Long Ng©m KiÕm §o¹n T¹o §å (KiÕm)	4	20	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
Gia C¸t C¬ Qu¸t MËt YÕu (Ná)	4	21	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
LiÔu DiÖp To¸i Phong §ao Tôy Thó Biªn (Phi §ao)	4	22	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
HuyÒn NguyÖt §ao Tö Kinh B¶o Lôc (§ao)	4	23	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
Thiªn C¬ C«n §å Phæ (C«n)	4	24	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
¸m Khİ Tæng Phæ QuyÓn 1 (Phi Tiªu)	4	25	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
Uyªn ¦¬ng §ao Khai Quang Biªn (Song ®ao)	4	26	\spr\item\citydefence\bigfragment.spr	347	1	1	"Mét m¶nh ®å phæ dïng ®Ó t¨ng cÊp vò khİ, lµ vËt quı T©y Vùc."	15	0	1	1	0
