szName	nItemGenre	nDetailType	nParticularType	szImageName	nObjIdx	nWidth	nHeight	szIntro	nSeries	nPrice	nLevel	bTrade	nTypeBasic1	Min	Max	nTypeBasic2	Min	Max	nTypeBasic3	Min	Max	nTypeBasic4	Min	Max	nTypeBasic5	Min	Max	nTypeBasic6	Min	Max	nTypeBasic7	Min	Max	nTypeReq1	Value	nTypeReq2	Value	nTypeReq3	Value	nTypeReq4	Value	nTypeReq5	Value	nTypeReq6	Max
Hoµng Ngäc Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	"Lo¹i nhÉn ®eo b»ng Hoµng Ngäc th­êng thÊy, kh«ng ®¸ng gi¸. "		150	1	1																						36	1										
C¶m L·m Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring02.spr	37	1	1	"Lo¹i nhÉn ®eo b»ng qu¶ tr¸m th­êng thÊy, kh«ng ®¸ng gi¸. "		600	2	1																						36	7										
Phï Dung Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	"Lo¹i nhÉn ®­îc kh·m vµo nh÷ng h¹t M· N·o nhá, kh«ng quý l¾m. "		1350	3	1																						36	14										
PhØ Thóy Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring04.spr	37	1	1	"Lo¹i nhÉn ®eo rÊt hiÕm nh×n thÊy ®­îc, gi¸ trÞ cùc quý. "		2400	4	1																						36	20										
Thóy Lùu Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring05.spr	37	1	1	"Lo¹i nhÉn b»ng Thóy Lùu quý hiÕm, chØ nh÷ng ng­êi cã thanh danh míi ®­îc ®eo. "		3750	5	1																						36	27										
Tæ MÉu Lôc Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	"Lo¹i nhÉn ®­îc kh¶m Tæ MÉu Lôc do MiÕn §iÖn tiÕn cèng, cùc kú cao quý. "		5400	6	1																						36	34										
H¶i Lam B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	"Lo¹i nhÉn kh¶m H¶i Lam B¶o Th¹ch do c¸c th­¬ng nh©n n­íc ngoµi mang vµo, vËt phÈm cùc hiÕm. "		7350	7	1																						36	40										
Hång B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Lo¹i nhÉn kh¶m Hång B¶o Th¹ch xuÊt xø tõ n­íc TÝch Lan nh­ng rÊt ®­îc l­u dông trong n­íc. 		9600	8	1																						36	47										
Lam B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	"Lo¹i nhÉn kh¶m Lam B¶o Th¹ch do c¸c cao t¨ng mang tõ Thiªn Tróc vÒ, cùc kú cao quý. "		12150	9	1																						36	54										
Toµn Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	"Lo¹i nhÉn kh¶m Toµn Th¹ch mang tõ h¶i ngo¹i vÒ, nghe nãi cã tiÒm Èn mét søc m¹nh thÇn bÝ. "		15000	10	1																						36	60										
