Level	ReBorn1	ReBorn2	ReBorn3	ReBorn4	ReBorn5	ReBorn6
1	100	75	100	125	150	175
2	200	150	200	250	300	350
3	300	225	300	375	450	525
4	400	300	400	500	600	700
5	500	375	500	625	750	875
6	600	450	600	750	900	1050
7	700	525	700	875	1050	1225
8	800	600	800	1000	1200	1400
9	900	675	900	1125	1350	1575
10	1000	750	1000	1250	1500	1750
11	1100	825	1100	1375	1650	1925
12	1200	900	1200	1500	1800	2100
13	1300	975	1300	1625	1950	2275
14	1400	1050	1400	1750	2100	2450
15	1500	1125	1500	1875	2250	2625
16	1600	1200	1600	2000	2400	2800
17	1700	1275	1700	2125	2550	2975
18	1800	1350	1800	2250	2700	3150
19	1900	1425	1900	2375	2850	3325
20	2000	1500	2000	2500	3000	3500
21	11000	8250	11000	13750	16500	19250
22	12000	9000	12000	15000	18000	21000
23	13000	9750	13000	16250	19500	22750
24	14000	10500	14000	17500	21000	24500
25	15000	11250	15000	18750	22500	26250
26	16000	12000	16000	20000	24000	28000
27	17000	12750	17000	21250	25500	29750
28	18000	13500	18000	22500	27000	31500
29	19000	14250	19000	23750	28500	33250
30	20000	15000	20000	25000	30000	35000
31	21000	15750	21000	26250	31500	36750
32	22000	16500	22000	27500	33000	38500
33	23000	17250	23000	28750	34500	40250
34	24000	18000	24000	30000	36000	42000
35	25000	18750	25000	31250	37500	43750
36	26000	19500	26000	32500	39000	45500
37	27000	20250	27000	33750	40500	47250
38	28000	21000	28000	35000	42000	49000
39	29000	21750	29000	36250	43500	50750
40	30000	22500	30000	37500	45000	52500
41	32000	24000	32000	40000	48000	56000
42	34000	25500	34000	42500	51000	59500
43	36000	27000	36000	45000	54000	63000
44	38000	28500	38000	47500	57000	66500
45	40000	30000	40000	50000	60000	70000
46	42000	31500	42000	52500	63000	73500
47	44000	33000	44000	55000	66000	77000
48	46000	34500	46000	57500	69000	80500
49	48000	36000	48000	60000	72000	84000
50	50000	37500	50000	62500	75000	87500
51	52000	39000	52000	65000	78000	91000
52	54000	40500	54000	67500	81000	94500
53	56000	42000	56000	70000	84000	98000
54	58000	43500	58000	72500	87000	101500
55	60000	45000	60000	75000	90000	105000
56	64000	48000	64000	80000	96000	112000
57	68000	51000	68000	85000	102000	119000
58	72000	54000	72000	90000	108000	126000
59	76000	57000	76000	95000	114000	133000
60	60000	63750	85000	106250	127500	148750
61	62222	67500	90000	112500	135000	157500
62	63000	71250	95000	118750	142500	166250
63	64100	75000	100000	125000	150000	175000
64	65000	78750	105000	131250	157500	183750
65	75000	82500	110000	137500	165000	192500
66	77000	90000	120000	150000	180000	210000
67	80000	97500	130000	162500	195000	227500
68	85000	105000	140000	175000	210000	245000
69	90000	112500	150000	187500	225000	262500
70	100000	150000	200000	250000	300000	350000
71	150000	225000	300000	375000	450000	525000
72	250000	300000	400000	500000	600000	700000
73	300000	375000	500000	625000	750000	875000
74	320000	450000	600000	750000	900000	1050000
75	350000	525000	700000	875000	1050000	1225000
76	400000	600000	800000	1000000	1200000	1400000
77	450000	675000	900000	1125000	1350000	1575000
78	700000	750000	1000000	1250000	1500000	1750000
79	750000	825000	1100000	1375000	1650000	1925000
80	800000	900000	1200000	1500000	1800000	2100000
81	850000	975000	1300000	1625000	1950000	2275000
82	900000	1050000	1400000	1750000	2100000	2450000
83	950000	1125000	1500000	1875000	2250000	2625000
84	1000000	1200000	1600000	2000000	2400000	2800000
85	1100000	1350000	1800000	2250000	2700000	3150000
86	1200000	1500000	2000000	2500000	3000000	3500000
87	1300000	1650000	2200000	2750000	3300000	3850000
88	1400000	1800000	2400000	3000000	3600000	4200000
89	1500000	1950000	2600000	3250000	3900000	4550000
90	1600000	2250000	3000000	3750000	4500000	5250000
91	2000000	2625000	3500000	4375000	5250000	6125000
92	2200000	3000000	4000000	5000000	6000000	7000000
93	2500000	3375000	4500000	5625000	6750000	7875000
94	2750000	3750000	5000000	6250000	7500000	8750000
95	3000000	4125000	5500000	6875000	8250000	9625000
96	3500000	4500000	6000000	7500000	9000000	10500000
97	4000000	5250000	7000000	8750000	10500000	12250000
98	5000000	6000000	8000000	10000000	12000000	14000000
99	6000000	6750000	9000000	11250000	13500000	15750000
100	10000000	7500000	10000000	12500000	15000000	17500000
101	11000000	8250000	11000000	13750000	16500000	19250000
102	12000000	9000000	12000000	15000000	18000000	21000000
103	13000000	9750000	13000000	16250000	19500000	22750000
104	14000000	10500000	14000000	17500000	21000000	24500000
105	15000000	11250000	15000000	18750000	22500000	26250000
106	16000000	12000000	16000000	20000000	24000000	28000000
107	17000000	12750000	17000000	21250000	25500000	29750000
108	18000000	13500000	18000000	22500000	27000000	31500000
109	19000000	14250000	19000000	23750000	28500000	33250000
110	20000000	15000000	20000000	25000000	30000000	35000000
111	22000000	16500000	22000000	27500000	33000000	38500000
112	24000000	18000000	24000000	30000000	36000000	42000000
113	26000000	19500000	26000000	32500000	39000000	45500000
114	28000000	21000000	28000000	35000000	42000000	49000000
115	30000000	22500000	30000000	37500000	45000000	52500000
116	32000000	24000000	32000000	40000000	48000000	56000000
117	34000000	25500000	34000000	42500000	51000000	59500000
118	36000000	27000000	36000000	45000000	54000000	63000000
119	38000000	28500000	38000000	47500000	57000000	66500000
120	40000000	30000000	40000000	50000000	60000000	70000000
121	43000000	32250000	43000000	53750000	64500000	75250000
122	46000000	34500000	46000000	57500000	69000000	80500000
123	49000000	36750000	49000000	61250000	73500000	85750000
124	52000000	39000000	52000000	65000000	78000000	91000000
125	55000000	41250000	55000000	68750000	82500000	96250000
126	58000000	43500000	58000000	72500000	87000000	101500000
127	61000000	45750000	61000000	76250000	91500000	106750000
128	64000000	48000000	64000000	80000000	96000000	112000000
129	67000000	50250000	67000000	83750000	100500000	117250000
130	70000000	52500000	70000000	87500000	105000000	122500000
131	74000000	55500000	74000000	92500000	111000000	129500000
132	78000000	58500000	78000000	97500000	117000000	136500000
133	81000000	60750000	81000000	101250000	121500000	141750000
134	85000000	63750000	85000000	106250000	127500000	148750000
135	89000000	66750000	89000000	111250000	133500000	155750000
136	93000000	69750000	93000000	116250000	139500000	162750000
137	97000000	72750000	97000000	121250000	145500000	169750000
138	101000000	75750000	101000000	126250000	151500000	176750000
139	105000000	78750000	105000000	131250000	157500000	183750000
140	110000000	82500000	110000000	137500000	165000000	192500000
141	120000000	90000000	120000000	150000000	180000000	210000000
142	130000000	97500000	130000000	162500000	195000000	227500000
143	140000000	105000000	140000000	175000000	210000000	245000000
144	150000000	112500000	150000000	187500000	225000000	262500000
